attendance,ct_marks,mid_marks,previous_semester_gpa,study_hours_per_week,result
5.8,6.0,15.9,1.91,18.1,1
5.4,6.0,12.6,1.17,12.9,1
7.2,4.0,15.7,2.97,22.0,1
6.5,7.5,22.2,2.91,21.5,1
2.3,1.5,2.7,0.38,0.0,0
2.4,3.2,3.8,0.89,14.5,0
6.3,2.7,18.5,2.02,12.6,1
5.1,5.7,11.5,1.6,9.6,1
3.5,4.9,12.1,3.1,15.4,0
4.1,3.1,9.1,1.64,15.3,0
6.2,6.4,18.4,3.26,12.3,1
8.5,5.0,15.6,2.63,21.4,1
4.2,3.5,12.9,2.18,19.5,1
6.0,5.3,18.1,2.82,19.8,1
7.6,3.2,14.6,1.51,14.2,0
6.0,4.5,3.3,0.96,9.8,0
5.6,6.3,21.9,1.77,21.5,1
3.9,2.1,7.7,0.53,7.3,0
7.7,6.3,19.9,2.42,23.1,1
3.5,3.6,8.5,2.69,15.4,0
3.7,4.2,11.2,2.03,15.3,0
4.6,2.7,7.6,2.17,7.4,0
9.1,5.5,23.1,3.34,19.3,1
5.2,5.4,11.9,2.39,18.2,1
5.4,3.8,13.7,1.5,9.6,0
6.5,6.6,12.0,2.13,17.2,1
8.7,5.7,15.0,2.92,18.2,1
5.8,3.8,13.5,2.26,14.8,0
6.4,6.5,20.5,2.75,20.9,1
8.3,6.2,10.8,2.77,8.7,1
7.3,8.2,20.2,3.69,24.1,1
6.3,5.5,7.0,1.43,21.5,1
4.1,2.7,7.0,1.32,20.5,0
4.8,3.1,7.0,1.58,15.4,0
6.5,5.1,11.4,2.82,16.9,0
6.5,4.4,15.3,2.79,17.1,1
4.7,3.8,6.5,2.12,14.7,1
5.0,4.9,7.7,1.76,15.9,0
5.7,3.7,13.5,1.79,10.5,1
6.6,3.8,16.5,3.34,21.2,1
7.0,3.7,16.1,3.31,27.0,1
7.2,7.4,14.8,2.23,17.6,1
3.9,3.2,5.4,2.34,8.9,0
6.9,4.2,10.7,2.17,11.6,0
6.8,4.5,13.8,2.71,19.7,1
8.8,3.5,16.1,2.4,16.7,1
6.7,7.4,21.7,2.73,22.4,1
5.7,4.2,16.0,1.66,14.8,1
7.6,7.3,15.9,2.67,21.6,1
6.8,4.8,14.1,1.63,15.8,1
5.7,6.5,15.2,2.82,14.2,1
6.3,5.6,16.1,3.31,16.5,1
4.4,3.4,13.5,0.72,7.1,0
4.6,4.7,7.2,2.07,23.2,0
4.8,4.4,11.1,1.53,14.5,0
5.0,4.0,14.4,1.44,16.9,0
6.5,4.0,7.7,2.29,13.3,1
7.3,8.9,20.4,3.38,16.5,1
2.8,1.7,6.6,2.2,12.7,0
5.3,5.5,17.1,2.78,23.6,1
2.2,1.7,0.5,1.25,9.1,0
4.1,4.2,13.8,1.97,11.8,1
5.9,4.2,15.8,2.65,17.4,1
5.5,5.5,17.9,2.49,20.0,1
6.1,5.2,14.0,2.75,25.0,1
6.2,3.6,15.9,2.79,20.0,1
4.9,3.9,9.0,1.59,17.8,0
6.5,2.7,9.4,2.09,17.7,1
7.7,3.8,22.5,3.15,14.2,1
5.6,4.4,13.0,2.28,11.8,1
3.6,3.1,4.2,1.79,8.1,0
3.8,3.3,9.0,1.87,7.5,0
4.9,3.9,5.6,1.31,16.7,0
7.1,3.0,10.5,2.75,18.9,1
5.1,2.9,9.6,2.06,17.0,0
6.9,7.9,17.3,2.76,8.0,1
3.2,2.2,12.9,1.62,23.2,1
6.3,5.5,16.6,2.97,13.1,1
7.5,4.7,17.5,2.85,26.3,1
5.1,4.1,8.7,1.87,9.5,0
8.3,4.7,13.7,3.04,14.4,1
4.0,4.0,11.5,0.8,5.5,0
5.6,4.1,10.0,1.1,16.6,1
5.3,3.4,10.4,2.21,10.7,1
4.1,1.4,8.1,1.27,8.4,0
6.4,5.5,15.0,2.69,12.2,1
5.3,2.3,10.8,1.29,18.0,0
6.7,5.2,18.9,2.2,19.1,0
7.9,8.6,18.0,3.39,24.9,0
6.5,6.8,20.4,2.89,14.8,1
7.6,6.5,19.2,2.8,19.1,1
5.0,4.1,8.4,1.95,10.8,0
6.0,1.7,6.4,1.7,13.6,0
5.0,2.6,9.2,1.28,13.9,0
4.6,3.7,4.2,0.95,13.0,0
6.0,1.8,5.9,1.38,16.0,0
3.9,1.6,8.3,0.51,16.2,0
2.3,2.4,12.0,1.14,9.9,0
5.9,3.7,15.2,2.06,21.4,1
5.8,1.9,6.8,1.09,13.4,0
5.9,4.0,5.5,1.92,13.8,0
7.9,5.4,19.1,2.41,17.3,1
6.4,3.3,11.3,2.16,12.9,1
7.4,4.7,16.9,3.09,25.4,0
5.8,4.0,16.0,1.35,14.7,0
6.5,4.1,16.1,1.04,16.3,0
6.0,3.2,11.4,1.04,12.4,0
5.7,4.8,9.6,2.42,25.0,0
7.9,5.7,16.0,1.76,24.0,1
3.1,1.5,4.6,0.68,8.2,1
5.9,5.6,13.6,2.08,16.5,1
7.9,6.0,17.0,2.71,16.1,1
5.2,3.5,11.6,1.45,15.1,0
4.6,2.6,3.5,1.2,9.1,0
6.1,3.7,16.7,2.48,18.2,0
4.5,2.5,10.3,2.51,20.5,0
6.2,5.7,10.1,2.3,11.7,0
7.3,5.3,14.1,2.37,11.8,1
8.6,7.5,22.5,2.89,19.1,1
3.8,4.1,15.2,2.48,13.8,0
4.2,3.0,7.6,1.08,21.2,0
7.9,5.9,17.8,2.12,20.8,1
5.9,5.9,16.0,2.37,20.7,1
6.0,7.2,16.6,2.66,19.3,1
8.9,6.0,13.4,2.96,17.6,1
7.0,6.8,20.0,2.87,11.5,1
7.8,6.9,24.3,3.49,23.8,1
3.8,3.4,9.3,0.61,14.6,0
6.0,4.1,15.3,1.64,19.5,0
4.0,3.3,12.4,1.76,12.6,0
6.5,3.2,13.1,1.14,14.5,0
4.5,3.4,4.9,0.67,12.8,0
7.0,8.9,24.5,3.06,21.7,1
5.7,3.7,13.7,2.13,9.7,1
3.6,2.3,5.3,1.19,14.8,0
5.5,2.6,6.4,2.13,13.1,1
5.4,4.2,15.1,2.64,13.0,1
5.4,7.2,13.7,3.13,10.4,1
9.3,6.7,24.6,4.0,21.7,1
9.6,7.4,21.0,3.91,28.8,1
6.9,3.3,15.1,2.21,24.2,1
4.9,2.2,6.5,1.58,14.7,0
2.5,0.0,1.4,0.67,17.7,0
7.0,5.8,13.2,2.2,16.9,1
4.7,6.6,11.8,1.14,17.6,0
4.8,3.3,16.7,2.79,13.2,0
4.7,1.5,13.1,1.84,12.4,1
7.7,5.7,15.1,1.79,13.1,1
5.6,4.8,17.5,3.42,11.2,1
6.6,6.4,18.1,2.28,21.9,1
3.9,3.6,15.6,1.97,13.2,1
4.3,2.2,5.4,1.6,9.9,0
3.1,1.7,5.0,0.34,6.5,0
3.1,4.2,6.1,1.95,14.0,0
6.2,4.2,16.4,2.92,23.1,1
7.9,6.4,27.6,3.8,29.9,1
3.9,4.0,13.8,2.15,10.0,0
8.1,4.6,10.7,2.78,17.8,1
6.6,4.5,13.5,1.64,10.6,0
5.7,0.9,3.6,1.15,16.6,0
4.9,2.6,6.5,1.28,14.5,0
4.9,4.3,12.6,1.99,11.5,0
10.0,8.2,24.9,3.21,22.9,1
6.4,4.3,8.9,1.89,11.9,1
8.2,5.9,15.7,2.72,25.2,1
3.6,4.3,10.5,1.63,15.7,0
7.4,7.0,17.6,2.49,21.7,1
6.8,5.7,12.5,3.04,6.7,1
3.8,5.0,12.3,2.57,15.5,1
6.3,5.4,15.1,2.55,24.5,1
7.2,3.4,9.8,1.07,19.6,1
7.1,3.6,10.2,2.89,10.2,1
6.7,4.6,14.9,2.0,13.6,0
4.3,3.3,0.0,0.58,7.8,0
4.0,3.9,7.1,1.17,19.3,0
6.5,3.7,11.6,2.48,17.7,1
7.2,5.6,20.5,3.69,17.9,1
5.1,5.1,16.2,2.4,16.9,0
7.0,4.5,16.4,2.22,5.5,0
7.6,2.9,11.1,3.02,12.8,1
6.7,6.7,21.7,3.74,20.3,1
7.1,2.8,13.5,1.23,20.3,0
5.2,2.7,5.5,1.74,7.3,0
7.7,7.8,25.8,3.02,18.0,1
6.9,7.4,13.0,1.84,21.6,1
9.0,5.5,21.1,3.47,15.1,1
6.2,4.4,15.2,2.85,17.7,1
5.5,3.0,8.7,0.79,12.8,0
